Experiment	Comparison	RNA.Class	Sign.inClass	NS.inClass	Sign.notClass	NS.notClass	P.Value
4MSL_MLE_ATP_clone8_RNA	cl8DCC+MLE+ATP-cl8DCC+ATP	editedRNAs	0	337	2	3449	1e+00
4MSL_MLE_ATP_clone8_RNA	cl8DCC+MLE+ATP-cl8DCC+ATP	long3UTR	0	228	2	3558	1e+00
4MSL_MLE_ATP_clone8_RNA	cl8DCC+MLE+ATP-cl8DCC+ATP	mito	1	10	1	3776	5.8e-03
4MSL_MLE_ATP_clone8_RNA	cl8DCC+MLE+ATP-cl8DCC+ATP	ribo	0	16	2	3770	1e+00
4MSL_MLE_ATP_clone8_RNA	cl8DCC+MLE+ATP-cl8DCC+ATP	short3UTR	0	106	2	3680	1e+00
4MSL_MLE_ATP_clone8_RNA	cl8DCC+MLE+ATP-cl8DCC+ATP	snoRNA_CD	0	12	2	3774	1e+00
4MSL_MLE_ATP_clone8_RNA	cl8DCC+MLE+ATP-cl8DCC+ATP	snoRNA_HACA	0	38	2	3748	1e+00
4MSL_MLE_WTalone_S2_RNA	DCC+MLE+ATP-DCC+ATP	editedRNAs	0	440	7	3142	1e+00
4MSL_MLE_WTalone_S2_RNA	DCC+MLE+ATP-DCC+ATP	long3UTR	0	347	7	3235	1e+00
4MSL_MLE_WTalone_S2_RNA	DCC+MLE+ATP-DCC+ATP	mito	3	9	4	3573	9.9e-07
4MSL_MLE_WTalone_S2_RNA	DCC+MLE+ATP-DCC+ATP	ribo	0	5	7	3577	1e+00
4MSL_MLE_WTalone_S2_RNA	DCC+MLE+ATP-DCC+ATP	short3UTR	0	75	7	3507	1e+00
4MSL_MLE_WTalone_S2_RNA	DCC+MLE+ATP-DCC+ATP	snoRNA_CD	0	10	7	3572	1e+00
4MSL_MLE_WTalone_S2_RNA	DCC+MLE+ATP-DCC+ATP	snoRNA_HACA	3	39	4	3543	5.1e-05
eMLE_lowMLE_S2_cells	eMLE-eInput	editedRNAs	4	290	10	3590	1.7e-02
eMLE_lowMLE_S2_cells	eMLE-eInput	long3UTR	0	128	14	3752	1e+00
eMLE_lowMLE_S2_cells	eMLE-eInput	mito	0	0	14	3880	1e+00
eMLE_lowMLE_S2_cells	eMLE-eInput	ribo	1	10	13	3870	3.9e-02
eMLE_lowMLE_S2_cells	eMLE-eInput	short3UTR	0	102	14	3778	1e+00
eMLE_lowMLE_S2_cells	eMLE-eInput	snoRNA_CD	0	2	14	3878	1e+00
eMLE_lowMLE_S2_cells	eMLE-eInput	snoRNA_HACA	0	2	14	3878	1e+00
MLE_ATP_clone8_RNA	cl8MLE+ATP-cl8Input	editedRNAs	205	256	891	2502	4.6e-15
MLE_ATP_clone8_RNA	cl8MLE+ATP-cl8Input	long3UTR	241	156	855	2602	9.5e-46
MLE_ATP_clone8_RNA	cl8MLE+ATP-cl8Input	mito	15	5	1081	2753	2e-05
MLE_ATP_clone8_RNA	cl8MLE+ATP-cl8Input	ribo	3	1	1093	2757	7.2e-02
MLE_ATP_clone8_RNA	cl8MLE+ATP-cl8Input	short3UTR	4	59	1092	2699	1.6e-05
MLE_ATP_clone8_RNA	cl8MLE+ATP-cl8Input	snoRNA_CD	4	14	1092	2744	7.9e-01
MLE_ATP_clone8_RNA	cl8MLE+ATP-cl8Input	snoRNA_HACA	36	26	1060	2732	1.1e-06
MLE_ATP_OrR_Female_RNA	HighMLEOrRF-OrRF	editedRNAs	257	355	832	3585	5.5e-34
MLE_ATP_OrR_Female_RNA	HighMLEOrRF-OrRF	long3UTR	356	214	733	3726	4.9e-114
MLE_ATP_OrR_Female_RNA	HighMLEOrRF-OrRF	mito	13	5	1076	3935	6.2e-06
MLE_ATP_OrR_Female_RNA	HighMLEOrRF-OrRF	ribo	1	2	1088	3938	5.2e-01
MLE_ATP_OrR_Female_RNA	HighMLEOrRF-OrRF	short3UTR	0	71	1089	3869	4e-08
MLE_ATP_OrR_Female_RNA	HighMLEOrRF-OrRF	snoRNA_CD	1	16	1088	3924	1.4e-01
MLE_ATP_OrR_Female_RNA	HighMLEOrRF-OrRF	snoRNA_HACA	22	27	1067	3913	3.1e-04
MLE_ATP_OrR_Male_RNA	HighMLEOrRM-OrRM	editedRNAs	359	307	1088	3426	2.9e-52
MLE_ATP_OrR_Male_RNA	HighMLEOrRM-OrRM	long3UTR	459	121	988	3612	2.8e-166
MLE_ATP_OrR_Male_RNA	HighMLEOrRM-OrRM	mito	15	6	1432	3727	4.2e-05
MLE_ATP_OrR_Male_RNA	HighMLEOrRM-OrRM	ribo	1	1	1446	3732	4.8e-01
MLE_ATP_OrR_Male_RNA	HighMLEOrRM-OrRM	short3UTR	2	76	1445	3657	5.1e-09
MLE_ATP_OrR_Male_RNA	HighMLEOrRM-OrRM	snoRNA_CD	0	17	1447	3716	5.5e-03
MLE_ATP_OrR_Male_RNA	HighMLEOrRM-OrRM	snoRNA_HACA	15	23	1432	3710	1.4e-01
