Experiment	Comparison	RNA.Class	Sign.inClass	NS.inClass	Sign.notClass	NS.notClass	P.Value
4MSL_MLE_ATP_clone8_RNA	cl8DCC+MLE+ATP-cl8DCC+ATP	editedRNAs	0	370	0	3636	1e+00
4MSL_MLE_ATP_clone8_RNA	cl8DCC+MLE+ATP-cl8DCC+ATP	long3UTR	0	212	0	3794	1e+00
4MSL_MLE_ATP_clone8_RNA	cl8DCC+MLE+ATP-cl8DCC+ATP	mito	0	8	0	3998	1e+00
4MSL_MLE_ATP_clone8_RNA	cl8DCC+MLE+ATP-cl8DCC+ATP	ribo	0	67	0	3939	1e+00
4MSL_MLE_ATP_clone8_RNA	cl8DCC+MLE+ATP-cl8DCC+ATP	short3UTR	0	116	0	3890	1e+00
4MSL_MLE_ATP_clone8_RNA	cl8DCC+MLE+ATP-cl8DCC+ATP	snoRNA_CD	0	6	0	4000	1e+00
4MSL_MLE_ATP_clone8_RNA	cl8DCC+MLE+ATP-cl8DCC+ATP	snoRNA_HACA	0	33	0	3973	1e+00
4MSL_MLE_WTalone_S2_RNA	DCC+MLE+ATP-DCC+ATP	editedRNAs	0	245	0	3786	1e+00
4MSL_MLE_WTalone_S2_RNA	DCC+MLE+ATP-DCC+ATP	long3UTR	0	73	0	3958	1e+00
4MSL_MLE_WTalone_S2_RNA	DCC+MLE+ATP-DCC+ATP	mito	0	6	0	4025	1e+00
4MSL_MLE_WTalone_S2_RNA	DCC+MLE+ATP-DCC+ATP	ribo	0	79	0	3952	1e+00
4MSL_MLE_WTalone_S2_RNA	DCC+MLE+ATP-DCC+ATP	short3UTR	0	133	0	3898	1e+00
4MSL_MLE_WTalone_S2_RNA	DCC+MLE+ATP-DCC+ATP	snoRNA_CD	0	3	0	4028	1e+00
4MSL_MLE_WTalone_S2_RNA	DCC+MLE+ATP-DCC+ATP	snoRNA_HACA	0	27	0	4004	1e+00
eMLE_lowMLE_S2_cells	eMLE-eInput	editedRNAs	1	427	36	3690	1.7e-01
eMLE_lowMLE_S2_cells	eMLE-eInput	long3UTR	0	323	37	3794	1.1e-01
eMLE_lowMLE_S2_cells	eMLE-eInput	mito	1	15	36	4102	1.3e-01
eMLE_lowMLE_S2_cells	eMLE-eInput	ribo	16	57	21	4060	1.4e-19
eMLE_lowMLE_S2_cells	eMLE-eInput	short3UTR	0	122	37	3995	6.3e-01
eMLE_lowMLE_S2_cells	eMLE-eInput	snoRNA_CD	0	9	37	4108	1e+00
eMLE_lowMLE_S2_cells	eMLE-eInput	snoRNA_HACA	1	88	36	4029	5.5e-01
MLE_ATP_clone8_RNA	cl8MLE+ATP-cl8Input	editedRNAs	60	176	774	2813	1.7e-01
MLE_ATP_clone8_RNA	cl8MLE+ATP-cl8Input	long3UTR	8	35	826	2954	7.1e-01
MLE_ATP_clone8_RNA	cl8MLE+ATP-cl8Input	mito	0	0	834	2989	1e+00
MLE_ATP_clone8_RNA	cl8MLE+ATP-cl8Input	ribo	72	7	762	2982	1.2e-40
MLE_ATP_clone8_RNA	cl8MLE+ATP-cl8Input	short3UTR	17	126	817	2863	2.6e-03
MLE_ATP_clone8_RNA	cl8MLE+ATP-cl8Input	snoRNA_CD	0	1	834	2988	1e+00
MLE_ATP_clone8_RNA	cl8MLE+ATP-cl8Input	snoRNA_HACA	9	12	825	2977	3e-02
MLE_ATP_OrR_Female_RNA	HighMLEOrRF-OrRF	editedRNAs	51	264	568	4259	2.5e-02
MLE_ATP_OrR_Female_RNA	HighMLEOrRF-OrRF	long3UTR	3	41	616	4482	3.6e-01
MLE_ATP_OrR_Female_RNA	HighMLEOrRF-OrRF	mito	0	0	619	4523	1e+00
MLE_ATP_OrR_Female_RNA	HighMLEOrRF-OrRF	ribo	70	9	549	4514	9e-56
MLE_ATP_OrR_Female_RNA	HighMLEOrRF-OrRF	short3UTR	16	186	603	4337	7.7e-02
MLE_ATP_OrR_Female_RNA	HighMLEOrRF-OrRF	snoRNA_CD	0	8	619	4515	6.1e-01
MLE_ATP_OrR_Female_RNA	HighMLEOrRF-OrRF	snoRNA_HACA	11	24	608	4499	1.9e-03
MLE_ATP_OrR_Male_RNA	HighMLEOrRM-OrRM	editedRNAs	68	195	1014	4037	2.8e-02
MLE_ATP_OrR_Male_RNA	HighMLEOrRM-OrRM	long3UTR	6	28	1076	4204	8.3e-01
MLE_ATP_OrR_Male_RNA	HighMLEOrRM-OrRM	mito	0	0	1082	4232	1e+00
MLE_ATP_OrR_Male_RNA	HighMLEOrRM-OrRM	ribo	77	3	1005	4229	2.9e-50
MLE_ATP_OrR_Male_RNA	HighMLEOrRM-OrRM	short3UTR	43	172	1039	4060	9.3e-01
MLE_ATP_OrR_Male_RNA	HighMLEOrRM-OrRM	snoRNA_CD	0	4	1082	4228	5.9e-01
MLE_ATP_OrR_Male_RNA	HighMLEOrRM-OrRM	snoRNA_HACA	12	28	1070	4204	1.6e-01
MLE_IP_4MSL_ATP_S2_RNA	LowMLE-Input	editedRNAs	63	228	972	3290	7.2e-01
MLE_IP_4MSL_ATP_S2_RNA	LowMLE-Input	long3UTR	14	67	1021	3451	2.8e-01
MLE_IP_4MSL_ATP_S2_RNA	LowMLE-Input	mito	0	0	1035	3518	1e+00
