Experiment	Comparison	RNA.Class	Sign.inClass	NS.inClass	Sign.notClass	NS.notClass	P.Value
4MSL_MLE_ATP_clone8_RNA	cl8DCC+MLE+ATP-cl8DCC+ATP	editedRNAs	0	707	2	7085	1e+00
4MSL_MLE_ATP_clone8_RNA	cl8DCC+MLE+ATP-cl8DCC+ATP	long3UTR	0	440	2	7352	1e+00
4MSL_MLE_ATP_clone8_RNA	cl8DCC+MLE+ATP-cl8DCC+ATP	mito	1	18	1	7774	4.9e-03
4MSL_MLE_ATP_clone8_RNA	cl8DCC+MLE+ATP-cl8DCC+ATP	ribo	0	83	2	7709	1e+00
4MSL_MLE_ATP_clone8_RNA	cl8DCC+MLE+ATP-cl8DCC+ATP	short3UTR	0	222	2	7570	1e+00
4MSL_MLE_ATP_clone8_RNA	cl8DCC+MLE+ATP-cl8DCC+ATP	snoRNA_CD	0	18	2	7774	1e+00
4MSL_MLE_ATP_clone8_RNA	cl8DCC+MLE+ATP-cl8DCC+ATP	snoRNA_HACA	0	71	2	7721	1e+00
4MSL_MLE_WTalone_S2_RNA	DCC+MLE+ATP-DCC+ATP	editedRNAs	0	685	7	6928	1e+00
4MSL_MLE_WTalone_S2_RNA	DCC+MLE+ATP-DCC+ATP	long3UTR	0	420	7	7193	1e+00
4MSL_MLE_WTalone_S2_RNA	DCC+MLE+ATP-DCC+ATP	mito	3	15	4	7598	3.9e-07
4MSL_MLE_WTalone_S2_RNA	DCC+MLE+ATP-DCC+ATP	ribo	0	84	7	7529	1e+00
4MSL_MLE_WTalone_S2_RNA	DCC+MLE+ATP-DCC+ATP	short3UTR	0	208	7	7405	1e+00
4MSL_MLE_WTalone_S2_RNA	DCC+MLE+ATP-DCC+ATP	snoRNA_CD	0	13	7	7600	1e+00
4MSL_MLE_WTalone_S2_RNA	DCC+MLE+ATP-DCC+ATP	snoRNA_HACA	3	66	4	7547	2.4e-05
eMLE_lowMLE_S2_cells	eMLE-eInput	editedRNAs	5	717	46	7280	8e-01
eMLE_lowMLE_S2_cells	eMLE-eInput	long3UTR	0	451	51	7546	1.2e-01
eMLE_lowMLE_S2_cells	eMLE-eInput	mito	1	15	50	7982	9.7e-02
eMLE_lowMLE_S2_cells	eMLE-eInput	ribo	17	67	34	7930	4.2e-22
eMLE_lowMLE_S2_cells	eMLE-eInput	short3UTR	0	224	51	7773	4e-01
eMLE_lowMLE_S2_cells	eMLE-eInput	snoRNA_CD	0	11	51	7986	1e+00
eMLE_lowMLE_S2_cells	eMLE-eInput	snoRNA_HACA	1	90	50	7907	4.4e-01
MLE_ATP_clone8_RNA	cl8MLE+ATP-cl8Input	editedRNAs	265	432	1665	5315	3e-15
MLE_ATP_clone8_RNA	cl8MLE+ATP-cl8Input	long3UTR	249	191	1681	5556	1.2e-47
MLE_ATP_clone8_RNA	cl8MLE+ATP-cl8Input	mito	15	5	1915	5742	4e-06
MLE_ATP_clone8_RNA	cl8MLE+ATP-cl8Input	ribo	75	8	1855	5739	1.6e-36
MLE_ATP_clone8_RNA	cl8MLE+ATP-cl8Input	short3UTR	21	185	1909	5562	8e-08
MLE_ATP_clone8_RNA	cl8MLE+ATP-cl8Input	snoRNA_CD	4	15	1926	5732	8e-01
MLE_ATP_clone8_RNA	cl8MLE+ATP-cl8Input	snoRNA_HACA	45	38	1885	5709	1.3e-08
MLE_ATP_OrR_Female_RNA	HighMLEOrRF-OrRF	editedRNAs	308	619	1400	7844	4.9e-38
MLE_ATP_OrR_Female_RNA	HighMLEOrRF-OrRF	long3UTR	359	255	1349	8208	8.3e-131
MLE_ATP_OrR_Female_RNA	HighMLEOrRF-OrRF	mito	13	5	1695	8458	3e-07
MLE_ATP_OrR_Female_RNA	HighMLEOrRF-OrRF	ribo	71	11	1637	8452	5.8e-44
MLE_ATP_OrR_Female_RNA	HighMLEOrRF-OrRF	short3UTR	16	257	1692	8206	6.5e-08
MLE_ATP_OrR_Female_RNA	HighMLEOrRF-OrRF	snoRNA_CD	1	24	1707	8439	1.1e-01
MLE_ATP_OrR_Female_RNA	HighMLEOrRF-OrRF	snoRNA_HACA	33	51	1675	8412	8.9e-07
MLE_ATP_OrR_Male_RNA	HighMLEOrRM-OrRM	editedRNAs	427	502	2102	7463	7.9e-53
MLE_ATP_OrR_Male_RNA	HighMLEOrRM-OrRM	long3UTR	465	149	2064	7816	5.4e-172
MLE_ATP_OrR_Male_RNA	HighMLEOrRM-OrRM	mito	15	6	2514	7959	6.2e-06
MLE_ATP_OrR_Male_RNA	HighMLEOrRM-OrRM	ribo	78	4	2451	7961	1.5e-43
MLE_ATP_OrR_Male_RNA	HighMLEOrRM-OrRM	short3UTR	45	248	2484	7717	3e-04
MLE_ATP_OrR_Male_RNA	HighMLEOrRM-OrRM	snoRNA_CD	0	21	2529	7944	4.2e-03
MLE_ATP_OrR_Male_RNA	HighMLEOrRM-OrRM	snoRNA_HACA	27	51	2502	7914	3.4e-02
MLE_IP_4MSL_ATP_S2_RNA	LowMLE-Input	editedRNAs	267	522	2066	6371	1.8e-08
MLE_IP_4MSL_ATP_S2_RNA	LowMLE-Input	long3UTR	234	262	2099	6631	2.6e-27
MLE_IP_4MSL_ATP_S2_RNA	LowMLE-Input	mito	17	3	2316	6890	3.4e-08
MLE_IP_4MSL_ATP_S2_RNA	LowMLE-Input	ribo	68	16	2265	6877	8.7e-27
MLE_IP_4MSL_ATP_S2_RNA	LowMLE-Input	short3UTR	42	220	2291	6673	3e-04
MLE_IP_4MSL_ATP_S2_RNA	LowMLE-Input	snoRNA_CD	14	44	2319	6849	1e+00
MLE_IP_4MSL_ATP_S2_RNA	LowMLE-Input	snoRNA_HACA	73	28	2260	6865	3.1e-23
MLE_IP_4MSL_ATP_S2_RNA	LowMLE+DCC-Input	editedRNAs	209	580	1655	6782	8.1e-06
MLE_IP_4MSL_ATP_S2_RNA	LowMLE+DCC-Input	long3UTR	132	364	1732	6998	4.4e-04
MLE_IP_4MSL_ATP_S2_RNA	LowMLE+DCC-Input	mito	17	3	1847	7359	8.9e-10
MLE_IP_4MSL_ATP_S2_RNA	LowMLE+DCC-Input	ribo	43	41	1821	7321	2.2e-10
MLE_IP_4MSL_ATP_S2_RNA	LowMLE+DCC-Input	short3UTR	24	238	1840	7124	1.5e-06
MLE_IP_4MSL_ATP_S2_RNA	LowMLE+DCC-Input	snoRNA_CD	15	43	1849	7319	3.2e-01
MLE_IP_4MSL_ATP_S2_RNA	LowMLE+DCC-Input	snoRNA_HACA	62	39	1802	7323	1.3e-19
MLE_IP_4MSL_ATP_S2_RNA	LowMLE+DCC-LowMLE	editedRNAs	37	752	279	8158	5.1e-02
MLE_IP_4MSL_ATP_S2_RNA	LowMLE+DCC-LowMLE	long3UTR	50	446	266	8464	3.1e-12
MLE_IP_4MSL_ATP_S2_RNA	LowMLE+DCC-LowMLE	mito	0	20	316	8890	1e+00
MLE_IP_4MSL_ATP_S2_RNA	LowMLE+DCC-LowMLE	ribo	37	47	279	8863	1.6e-32
MLE_IP_4MSL_ATP_S2_RNA	LowMLE+DCC-LowMLE	short3UTR	4	258	312	8652	1.2e-01
